Data da venda,Nome Produto,Categoria do produto,Valor unitário,Quantidade vendida,Nome do cliente,Faixa etária do cliente,Gênero do cliente,Localização da compra
2024-09-17 08:40:39.228161,Cookie,Doces,6.8,4,Erica Alvarez,26-35,Masculino,Brasília
2024-09-30 04:50:53.519952,Brownie,Doces,7.5,3,Michael Warner,46-55,Feminino,Online
2024-09-26 07:30:52.978970,Chá de Hibisco,Chás Artesanais,9.2,3,Brittany Kim,46-55,Outro,São Paulo
2024-10-27 16:18:52.236735,Chá de Camomila,Chás Artesanais,8.9,2,Robert Walker,36-45,Masculino,Brasília
2024-07-11 07:31:56.906610,Quiche de Alho-poró,Salgados,11.0,4,Stephen Wood,46-55,Masculino,Online
2024-08-09 09:55:37.142735,Empada de Palmito,Salgados,9.8,4,Anthony Rodriguez,36-45,Outro,São Paulo
2024-09-03 22:41:41.175519,Chá de Hibisco,Chás Artesanais,9.2,4,Kristen Sloan,36-45,Outro,São Paulo
2024-07-10 13:03:26.302251,Café Robusta,Cafés Especiais,10.9,4,Matthew Mcmillan,18-25,Feminino,Brasília
2024-01-28 17:37:31.480073,Quiche de Alho-poró,Salgados,11.0,4,Robert Gonzales,26-35,Outro,Brasília
2024-07-06 21:54:29.012687,Empada de Palmito,Salgados,9.8,4,William Gould,18-25,Masculino,Online
2024-06-03 05:51:47.780210,Chá Verde,Chás Artesanais,8.5,1,Steven Stein,26-35,Outro,Brasília
2024-05-16 09:13:27.177493,Café Robusta,Cafés Especiais,10.9,3,Megan Alvarado,26-35,Outro,Online
2024-11-29 23:52:30.718450,Café Robusta,Cafés Especiais,10.9,4,Zachary Robinson,46-55,Outro,Online
2024-07-15 11:32:12.936786,Chá de Hibisco,Chás Artesanais,9.2,3,Jesse Williams,26-35,Outro,Brasília
2024-02-13 06:56:45.973180,Café Robusta,Cafés Especiais,10.9,3,Robert Hendrix,36-45,Outro,Brasília
2024-04-17 07:05:49.273966,Cookie,Doces,6.8,1,Tammy Melton,26-35,Outro,São Paulo
2024-09-26 21:34:26.663674,Café Orgânico,Cafés Especiais,14.5,4,Priscilla Floyd,26-35,Masculino,Paraná
2024-03-20 03:46:58.676748,Café Arábica,Cafés Especiais,12.9,2,Margaret Harper,26-35,Outro,Brasília
2024-12-06 02:15:11.077663,Cookie,Doces,6.8,1,Christian Leblanc,36-45,Outro,Brasília
2024-10-28 01:31:43.781725,Chá Verde,Chás Artesanais,8.5,2,Mr. Michael Scott PhD,18-25,Masculino,Online
2024-06-18 23:31:57.056590,Chá de Camomila,Chás Artesanais,8.9,3,James Moore,18-25,Feminino,Paraná
2024-06-27 23:00:27.114094,Empada de Palmito,Salgados,9.8,3,Shannon Walker,18-25,Feminino,Online
2024-08-12 03:20:12.154517,Quiche de Alho-poró,Salgados,11.0,1,Julie Delacruz,46-55,Feminino,Paraná
2024-05-09 00:44:50.053344,Quiche de Alho-poró,Salgados,11.0,1,Jennifer Porter,46-55,Outro,Brasília
2024-11-20 05:00:17.573048,Chá de Hibisco,Chás Artesanais,9.2,2,Lawrence Adkins,18-25,Masculino,Paraná
2024-05-09 07:02:48.019657,Café Arábica,Cafés Especiais,12.9,4,Charles Lester,26-35,Outro,São Paulo
2024-06-28 09:04:21.860419,Coxinha Vegana,Salgados,10.2,2,Janet Cook,18-25,Outro,Brasília
2024-07-06 07:58:13.296751,Cookie,Doces,6.8,1,Gloria Mckinney,36-45,Masculino,Online
2024-02-15 09:45:57.672519,Cookie,Doces,6.8,2,Casey Wilkins,36-45,Masculino,Paraná
2024-02-26 18:56:02.734370,Chá Verde,Chás Artesanais,8.5,1,Philip Cannon,46-55,Masculino,Paraná
2024-03-23 12:01:04.068914,Quiche de Alho-poró,Salgados,11.0,2,Karl Branch,36-45,Feminino,Online
2024-04-19 04:29:37.173229,Empada de Palmito,Salgados,9.8,1,Kaitlin Medina,36-45,Feminino,São Paulo
2024-03-07 08:02:52.156425,Brownie,Doces,7.5,1,Brian Harris,26-35,Feminino,Brasília
2024-02-09 16:05:51.302381,Chá de Hibisco,Chás Artesanais,9.2,1,Gregory Peck,26-35,Masculino,São Paulo
2024-11-02 06:58:50.701371,Brownie,Doces,7.5,4,Michael Webster,18-25,Outro,São Paulo
2024-05-09 14:07:50.256683,Chá Verde,Chás Artesanais,8.5,2,Yvonne Chambers,18-25,Feminino,São Paulo
2024-05-11 12:39:14.865678,Empada de Palmito,Salgados,9.8,2,Melissa Stephens,18-25,Outro,Brasília
2024-03-13 00:28:02.306740,Cookie,Doces,6.8,2,Megan Le,26-35,Outro,São Paulo
2024-01-15 02:17:42.852828,Brownie,Doces,7.5,1,Richard Wood,18-25,Feminino,São Paulo
2024-09-28 18:41:05.912421,Empada de Palmito,Salgados,9.8,2,Connie Brown,18-25,Outro,Paraná
2024-02-28 05:46:36.049990,Cookie,Doces,6.8,2,Michael Tran,26-35,Outro,São Paulo
2024-06-23 13:16:07.204888,Empada de Palmito,Salgados,9.8,1,Brian Brown,18-25,Feminino,Brasília
2024-04-07 22:31:46.544978,Chá de Camomila,Chás Artesanais,8.9,3,Anna Briggs,18-25,Masculino,Online
2024-07-19 17:10:00.882695,Chá de Hibisco,Chás Artesanais,9.2,1,Alexander Gomez,18-25,Masculino,São Paulo
2024-09-17 04:28:49.903010,Chá de Hibisco,Chás Artesanais,9.2,2,Robin Young,18-25,Outro,Online
2024-10-06 15:14:16.588285,Café Orgânico,Cafés Especiais,14.5,1,Robert Gonzales,18-25,Feminino,Brasília
2024-07-02 04:11:55.649479,Cookie,Doces,6.8,3,Megan Le,36-45,Feminino,Paraná
2024-11-03 02:28:54.268378,Empada de Palmito,Salgados,9.8,1,Matthew Foster,26-35,Feminino,Paraná
2024-02-10 07:50:05.091849,Quiche de Alho-poró,Salgados,11.0,2,Robert Oconnell,18-25,Feminino,Online
2024-01-08 07:02:43.246751,Empada de Palmito,Salgados,9.8,3,Andrea Hubbard,46-55,Feminino,Online
2024-07-01 01:53:58.324905,Chá de Camomila,Chás Artesanais,8.9,4,Steven Lee,18-25,Masculino,Paraná
2024-03-27 07:00:10.544045,Quiche de Alho-poró,Salgados,11.0,2,Maria Henry,18-25,Outro,Online
2024-05-04 09:26:36.285315,Café Arábica,Cafés Especiais,12.9,3,Michael Young,36-45,Feminino,Online
2024-09-26 00:33:38.838575,Chá de Camomila,Chás Artesanais,8.9,3,Kendra Wang DVM,36-45,Masculino,São Paulo
2024-04-15 11:27:29.704057,Chá de Hibisco,Chás Artesanais,9.2,4,Jason Love,36-45,Masculino,Paraná
2024-10-04 06:24:43.394151,Cookie,Doces,6.8,1,Kristin Huerta,36-45,Masculino,Brasília
2024-02-25 07:39:56.614460,Café Arábica,Cafés Especiais,12.9,1,Bianca Wood,26-35,Outro,Online
2024-04-01 19:29:13.731023,Café Orgânico,Cafés Especiais,14.5,2,Samantha Jones,46-55,Feminino,São Paulo
2024-11-11 00:34:11.872415,Quiche de Alho-poró,Salgados,11.0,4,Diane Mcdowell,18-25,Masculino,Paraná
2024-03-31 07:19:08.641169,Coxinha Vegana,Salgados,10.2,1,Kimberly Smith,36-45,Outro,Online
2024-03-13 10:52:25.376041,Empada de Palmito,Salgados,9.8,4,Carrie Valdez,36-45,Outro,Brasília
2024-10-22 03:52:51.768809,Bolo de Cenoura,Doces,9.9,1,Nicholas Franklin,36-45,Feminino,São Paulo
2024-07-02 21:50:51.705861,Café Arábica,Cafés Especiais,12.9,3,Robert Dennis,26-35,Outro,São Paulo
2024-12-28 01:45:36.650415,Brownie,Doces,7.5,1,Evelyn Galvan,26-35,Feminino,Paraná
2024-08-19 15:29:57.905438,Café Robusta,Cafés Especiais,10.9,4,Susan Davis,26-35,Masculino,São Paulo
2024-02-18 08:19:51.318108,Chá Verde,Chás Artesanais,8.5,3,Kimberly Smith,46-55,Outro,Paraná
2024-12-27 22:18:27.159675,Bolo de Cenoura,Doces,9.9,3,Lee Stewart,26-35,Outro,Paraná
2024-06-04 02:52:01.045146,Café Orgânico,Cafés Especiais,14.5,3,Donna Boone,26-35,Masculino,Brasília
2024-02-03 10:17:22.503916,Chá de Camomila,Chás Artesanais,8.9,4,Thomas Peterson,26-35,Feminino,Online
2024-05-28 23:28:22.829680,Brownie,Doces,7.5,2,Brian Lee,18-25,Outro,São Paulo
2024-08-19 21:19:48.591643,Chá de Camomila,Chás Artesanais,8.9,2,Mr. Carl Rios,36-45,Outro,Brasília
2024-05-02 13:34:13.073594,Empada de Palmito,Salgados,9.8,2,John Mack,18-25,Masculino,Brasília
2024-07-05 05:58:19.000586,Empada de Palmito,Salgados,9.8,4,Maria Fisher,36-45,Masculino,Online
2024-04-21 04:13:09.907491,Brownie,Doces,7.5,3,Amanda Pineda,26-35,Outro,Brasília
2024-04-12 16:54:10.029936,Chá Verde,Chás Artesanais,8.5,2,Jonathan York,36-45,Outro,São Paulo
2024-06-01 07:51:08.976183,Brownie,Doces,7.5,4,Nancy Jennings,18-25,Masculino,Online
2024-01-18 06:18:04.891462,Café Arábica,Cafés Especiais,12.9,2,Elizabeth Fowler,46-55,Feminino,Brasília
2024-01-20 08:01:30.585007,Chá Verde,Chás Artesanais,8.5,1,Carol Tucker,46-55,Outro,Brasília
2024-03-18 12:26:25.725285,Coxinha Vegana,Salgados,10.2,2,Jaime Walker,26-35,Masculino,Paraná
2024-11-27 15:59:58.526640,Café Arábica,Cafés Especiais,12.9,2,Nathan Wilson,18-25,Outro,São Paulo
2024-03-08 01:03:51.218205,Chá Verde,Chás Artesanais,8.5,3,William Prince PhD,26-35,Masculino,São Paulo
2024-05-12 19:27:34.750105,Bolo de Cenoura,Doces,9.9,4,Timothy Edwards,26-35,Outro,São Paulo
2024-02-05 17:32:23.168081,Café Arábica,Cafés Especiais,12.9,3,Donald Flores,36-45,Masculino,São Paulo
2024-07-20 04:03:25.002236,Chá de Hibisco,Chás Artesanais,9.2,3,Kimberly Nguyen,56+,Outro,Brasília
2024-04-30 10:46:27.249620,Café Arábica,Cafés Especiais,12.9,3,Richard Wood,26-35,Outro,Online
2024-05-11 15:15:48.651833,Bolo de Cenoura,Doces,9.9,3,Dawn Rivera,18-25,Outro,Brasília
2024-07-12 19:44:01.026661,Chá de Hibisco,Chás Artesanais,9.2,3,Cody Davidson,26-35,Outro,São Paulo
2024-08-25 02:06:50.430382,Coxinha Vegana,Salgados,10.2,2,Harold Garrett,56+,Masculino,Online
2024-05-20 04:09:17.588612,Café Orgânico,Cafés Especiais,14.5,3,Shannon James,26-35,Feminino,Paraná
2024-02-17 14:13:17.769929,Café Arábica,Cafés Especiais,12.9,3,Kristin Mendoza,26-35,Feminino,Paraná
2024-02-13 12:44:06.873661,Quiche de Alho-poró,Salgados,11.0,4,Alison Short,26-35,Feminino,São Paulo
2024-11-28 19:21:14.450527,Empada de Palmito,Salgados,9.8,1,Amy Kennedy,26-35,Masculino,Online
2024-03-10 02:33:41.939385,Brownie,Doces,7.5,2,Justin Baker,56+,Feminino,Brasília
2024-12-03 06:57:34.432618,Empada de Palmito,Salgados,9.8,2,Susan Powers,36-45,Masculino,Brasília
2024-07-18 16:28:56.756612,Chá de Hibisco,Chás Artesanais,9.2,2,Debra Perry,36-45,Masculino,São Paulo
2024-09-21 22:20:44.607688,Café Robusta,Cafés Especiais,10.9,3,Hannah Martin,18-25,Masculino,Online
2024-03-14 05:48:22.301886,Café Arábica,Cafés Especiais,12.9,3,Jean Lane,26-35,Feminino,Paraná
2024-01-16 04:53:50.797603,Bolo de Cenoura,Doces,9.9,3,Veronica Berry,26-35,Feminino,Online
2024-07-19 16:55:49.086744,Quiche de Alho-poró,Salgados,11.0,4,Christian Vaughn,18-25,Feminino,Brasília
2024-11-16 21:18:44.049664,Café Robusta,Cafés Especiais,10.9,1,Dennis Marshall,26-35,Outro,São Paulo
2024-11-26 21:44:39.273748,Café Arábica,Cafés Especiais,12.9,3,Kevin Hall,18-25,Masculino,Online
2024-11-22 16:28:46.627905,Café Arábica,Cafés Especiais,12.9,1,Dennis Huffman,36-45,Feminino,São Paulo
2024-09-18 14:35:37.094033,Bolo de Cenoura,Doces,9.9,4,Renee Mendez,18-25,Masculino,Online
2024-01-25 17:35:27.526622,Coxinha Vegana,Salgados,10.2,2,Jennifer Simpson DVM,36-45,Feminino,Paraná
2024-12-05 13:30:39.451757,Bolo de Cenoura,Doces,9.9,3,Brittany Davis,18-25,Masculino,Online
2024-01-08 16:16:44.296487,Café Robusta,Cafés Especiais,10.9,1,David Kelly,26-35,Feminino,Online
2024-09-11 06:30:20.628908,Coxinha Vegana,Salgados,10.2,1,Carol Tucker,18-25,Outro,Paraná
2024-01-17 01:37:10.307225,Chá de Hibisco,Chás Artesanais,9.2,3,Laura Jones,18-25,Outro,Online
2024-10-16 23:40:15.221421,Coxinha Vegana,Salgados,10.2,2,Levi Lopez,36-45,Outro,Online
2024-09-27 14:11:32.169350,Quiche de Alho-poró,Salgados,11.0,2,Donna Johnson,18-25,Masculino,Online
2024-09-06 07:30:42.141374,Cookie,Doces,6.8,2,Mary Henry,56+,Outro,Paraná
2024-12-20 15:26:09.397849,Cookie,Doces,6.8,4,Erin Edwards,18-25,Masculino,São Paulo
2024-10-01 06:46:24.613667,Cookie,Doces,6.8,1,Michael Marsh,36-45,Masculino,Paraná
2024-10-11 07:23:08.473907,Coxinha Vegana,Salgados,10.2,1,Michael Miles,26-35,Feminino,Online
2024-04-09 23:58:02.133091,Brownie,Doces,7.5,1,Tina Walter,18-25,Masculino,Paraná
2024-02-28 23:58:06.416650,Café Orgânico,Cafés Especiais,14.5,4,Rebecca Jackson,46-55,Masculino,Paraná
2024-09-11 22:14:44.376163,Chá Verde,Chás Artesanais,8.5,1,Nicholas Lawrence,26-35,Feminino,Online
2024-10-15 03:14:21.954065,Empada de Palmito,Salgados,9.8,4,Fred Smith,36-45,Outro,Brasília
2024-09-15 12:24:56.754250,Cookie,Doces,6.8,2,Timothy Monroe,26-35,Outro,Brasília
2024-04-20 00:48:02.642399,Coxinha Vegana,Salgados,10.2,3,Christopher Pena,36-45,Feminino,Online
2024-09-15 00:36:09.111911,Brownie,Doces,7.5,1,Kevin Cunningham,26-35,Feminino,São Paulo
2024-03-03 14:14:25.197533,Quiche de Alho-poró,Salgados,11.0,1,Joanna Kelly,56+,Masculino,São Paulo
2024-03-27 23:08:51.691804,Cookie,Doces,6.8,2,Deborah Figueroa,26-35,Outro,Online
2024-02-24 16:33:01.081893,Chá de Camomila,Chás Artesanais,8.9,3,Richard Reyes,56+,Outro,Brasília
2024-12-04 04:02:46.998420,Cookie,Doces,6.8,4,Courtney Gonzalez,36-45,Outro,Online
2024-10-15 18:44:48.664143,Coxinha Vegana,Salgados,10.2,3,Stephanie Elliott,46-55,Outro,Paraná
2024-03-31 20:01:26.799620,Cookie,Doces,6.8,2,Kevin Johnson,26-35,Masculino,Online
2024-07-14 06:07:40.411680,Empada de Palmito,Salgados,9.8,2,Nancy Webb,26-35,Outro,São Paulo
2024-05-06 21:27:59.092790,Café Orgânico,Cafés Especiais,14.5,3,Joseph Lopez,26-35,Masculino,Online
2024-05-14 03:38:18.413898,Chá de Camomila,Chás Artesanais,8.9,4,Joseph Mayer,46-55,Feminino,Paraná
2024-09-14 23:34:08.864462,Quiche de Alho-poró,Salgados,11.0,4,Jacob Erickson,36-45,Outro,São Paulo
2024-09-20 13:22:11.665332,Cookie,Doces,6.8,1,Megan Le,18-25,Outro,Paraná
2024-08-11 02:08:37.830085,Empada de Palmito,Salgados,9.8,4,David Robinson,46-55,Masculino,São Paulo
2024-01-21 16:51:18.840698,Empada de Palmito,Salgados,9.8,3,Anthony Simmons,26-35,Masculino,Paraná
2024-10-27 16:55:42.484645,Chá de Hibisco,Chás Artesanais,9.2,2,Bobby Guerrero,18-25,Masculino,Brasília
2024-12-18 00:51:08.108092,Chá de Hibisco,Chás Artesanais,9.2,1,Rebecca Kelly,26-35,Feminino,Online
2024-12-20 01:55:19.025333,Café Arábica,Cafés Especiais,12.9,1,Brett Burns,26-35,Masculino,Paraná
2024-12-23 01:49:13.102419,Bolo de Cenoura,Doces,9.9,2,Jeffrey Howell,18-25,Masculino,Online
2024-10-11 07:50:14.015945,Café Arábica,Cafés Especiais,12.9,4,Grace Miller,46-55,Feminino,Paraná
2024-09-29 11:54:59.366364,Café Robusta,Cafés Especiais,10.9,2,Ryan Salazar,26-35,Outro,Brasília
2024-08-26 16:08:06.296722,Quiche de Alho-poró,Salgados,11.0,4,Jennifer Flores,18-25,Masculino,Brasília
2024-08-19 07:55:00.243621,Cookie,Doces,6.8,2,Connor Dominguez,18-25,Outro,Brasília
2024-10-25 03:25:49.714481,Cookie,Doces,6.8,3,Valerie Reyes,36-45,Feminino,São Paulo
2024-04-08 16:21:26.781369,Coxinha Vegana,Salgados,10.2,4,John Young,18-25,Masculino,Paraná
2024-10-21 16:24:46.626329,Empada de Palmito,Salgados,9.8,3,Amy Martinez,46-55,Masculino,Online
2024-02-26 20:27:52.302256,Bolo de Cenoura,Doces,9.9,1,Heather Hernandez,18-25,Outro,Online
2024-09-22 05:40:42.069963,Quiche de Alho-poró,Salgados,11.0,2,Katherine Martinez,56+,Masculino,Paraná
2024-11-25 23:03:02.080074,Quiche de Alho-poró,Salgados,11.0,1,Jennifer Porter,46-55,Masculino,Brasília
2024-03-07 09:47:48.923359,Café Orgânico,Cafés Especiais,14.5,1,Samantha Chavez,46-55,Masculino,Paraná
2024-11-10 17:55:54.865073,Empada de Palmito,Salgados,9.8,1,Dale Heath,56+,Feminino,Brasília
2024-06-28 01:06:04.985597,Chá de Hibisco,Chás Artesanais,9.2,1,Adam Taylor,18-25,Feminino,Paraná
2024-08-24 19:06:42.640550,Brownie,Doces,7.5,2,David Washington,46-55,Masculino,Paraná
2024-02-29 04:46:22.358850,Chá Verde,Chás Artesanais,8.5,1,Abigail Baird,26-35,Feminino,Online
2024-05-23 15:10:32.676867,Café Robusta,Cafés Especiais,10.9,2,Brett Pena,18-25,Feminino,Online
2024-01-26 03:41:35.538180,Empada de Palmito,Salgados,9.8,2,Cody Bailey,26-35,Masculino,São Paulo
2024-03-30 22:21:01.962619,Bolo de Cenoura,Doces,9.9,3,Jose Schultz,26-35,Outro,Paraná
2024-12-20 00:17:21.462315,Quiche de Alho-poró,Salgados,11.0,4,Timothy Duncan,46-55,Outro,São Paulo
2024-07-11 05:48:12.764330,Quiche de Alho-poró,Salgados,11.0,4,Shannon James,18-25,Masculino,Paraná
2024-10-21 05:35:04.500471,Bolo de Cenoura,Doces,9.9,2,Joel Williams,18-25,Masculino,São Paulo
2024-05-17 02:35:25.726304,Empada de Palmito,Salgados,9.8,3,Danielle Murray,26-35,Outro,São Paulo
2024-10-28 13:47:28.068587,Brownie,Doces,7.5,2,Heidi Matthews,36-45,Feminino,Paraná
2024-08-23 19:15:23.293903,Chá Verde,Chás Artesanais,8.5,2,Jessica Bowen,26-35,Feminino,Online
2024-03-31 04:52:46.450179,Chá Verde,Chás Artesanais,8.5,2,Larry Harding,18-25,Outro,São Paulo
2024-02-22 10:57:56.831819,Café Robusta,Cafés Especiais,10.9,3,Lori Hernandez,26-35,Masculino,Brasília
2024-01-05 23:52:16.786782,Quiche de Alho-poró,Salgados,11.0,4,Michelle Jackson,36-45,Masculino,Brasília
2024-12-15 05:33:48.060021,Brownie,Doces,7.5,3,Jill Powers,36-45,Masculino,Online
2024-09-25 16:49:31.869558,Quiche de Alho-poró,Salgados,11.0,1,Peter Thompson,18-25,Outro,São Paulo
2024-09-15 10:39:36.426921,Chá de Hibisco,Chás Artesanais,9.2,3,Melissa Taylor,36-45,Feminino,São Paulo
2024-06-24 23:43:53.883140,Coxinha Vegana,Salgados,10.2,3,Jessica Garcia,18-25,Feminino,São Paulo
2024-06-11 17:36:01.928001,Coxinha Vegana,Salgados,10.2,3,Danielle Watson,46-55,Masculino,Paraná
2024-05-01 12:46:11.368718,Brownie,Doces,7.5,3,Casey Obrien,26-35,Masculino,Paraná
2024-01-21 10:06:32.491295,Coxinha Vegana,Salgados,10.2,4,Patty Perez,26-35,Feminino,Online
2024-08-17 00:35:50.580386,Chá de Camomila,Chás Artesanais,8.9,1,Laurie Bailey,36-45,Outro,Paraná
2024-10-28 02:44:57.964761,Café Arábica,Cafés Especiais,12.9,4,Patricia Ray,18-25,Feminino,São Paulo
2024-04-18 10:13:58.550946,Empada de Palmito,Salgados,9.8,4,Matthew Wells,56+,Outro,Brasília
2024-11-01 15:31:28.014716,Café Robusta,Cafés Especiais,10.9,3,Debra Butler,36-45,Feminino,Online
2024-11-28 09:47:27.023102,Brownie,Doces,7.5,2,Robert Mclean,46-55,Masculino,São Paulo
2024-06-04 11:45:57.332932,Brownie,Doces,7.5,2,Annette Melton,26-35,Feminino,Online
2024-08-27 00:13:47.766872,Chá Verde,Chás Artesanais,8.5,4,Alexis Harris,36-45,Feminino,São Paulo
2024-11-16 06:12:16.981428,Brownie,Doces,7.5,4,Martha Bailey,18-25,Masculino,Online
2024-11-18 05:05:16.849358,Bolo de Cenoura,Doces,9.9,3,Mr. David Wright,56+,Feminino,Paraná
2024-02-11 04:46:50.550950,Bolo de Cenoura,Doces,9.9,4,Martha Bailey,26-35,Masculino,Paraná
2024-02-10 08:03:52.398373,Coxinha Vegana,Salgados,10.2,3,Jason Williams,46-55,Outro,Online
2024-12-14 12:31:00.025891,Café Arábica,Cafés Especiais,12.9,2,Maria Parker,18-25,Masculino,Brasília
2024-08-12 16:04:23.852612,Empada de Palmito,Salgados,9.8,2,Dana Martinez,36-45,Feminino,Brasília
2024-12-03 17:56:16.104488,Coxinha Vegana,Salgados,10.2,1,Ashley Moreno,26-35,Outro,Online
2024-11-22 17:05:05.929033,Empada de Palmito,Salgados,9.8,2,Jessica Stephens,46-55,Masculino,Brasília
2024-03-05 15:43:36.885648,Brownie,Doces,7.5,4,Carrie Wright,46-55,Masculino,São Paulo
2024-08-06 22:58:12.168044,Bolo de Cenoura,Doces,9.9,2,Michael Anderson,36-45,Masculino,Brasília
2024-02-24 12:49:06.020727,Chá de Hibisco,Chás Artesanais,9.2,3,Richard Wood,18-25,Feminino,Brasília
2024-04-20 19:26:37.967264,Brownie,Doces,7.5,2,Gregory Peck,36-45,Outro,Brasília
2024-05-07 11:05:28.428641,Empada de Palmito,Salgados,9.8,1,Anthony Randolph,56+,Masculino,Paraná
2024-11-30 16:29:12.335847,Chá Verde,Chás Artesanais,8.5,2,Alyssa Long,26-35,Outro,Online
2024-12-06 16:41:50.529642,Quiche de Alho-poró,Salgados,11.0,3,Sandra Torres,26-35,Outro,Brasília
2024-09-16 08:38:55.241299,Brownie,Doces,7.5,3,Kyle Black,36-45,Feminino,Paraná
2024-01-01 14:13:49.269484,Chá Verde,Chás Artesanais,8.5,4,Kim James,18-25,Outro,Paraná
2024-02-24 01:26:13.228940,Brownie,Doces,7.5,2,Jonathan Walker,18-25,Outro,Online
2024-04-26 10:40:55.447399,Café Robusta,Cafés Especiais,10.9,3,Hannah Everett,18-25,Feminino,Brasília
2024-09-20 14:58:57.167575,Café Arábica,Cafés Especiais,12.9,1,Linda Smith,26-35,Feminino,Paraná
2024-06-23 14:04:41.101076,Chá Verde,Chás Artesanais,8.5,4,Michael Lopez,26-35,Feminino,Paraná
2024-07-29 05:54:33.237728,Chá de Hibisco,Chás Artesanais,9.2,1,Danielle Davis,18-25,Feminino,São Paulo
2024-04-11 11:40:01.116544,Empada de Palmito,Salgados,9.8,2,Mark Moss,26-35,Feminino,Online
2024-12-29 17:12:46.012717,Café Robusta,Cafés Especiais,10.9,2,Sarah Duncan,26-35,Masculino,Online
2024-05-20 17:29:48.019697,Coxinha Vegana,Salgados,10.2,2,Michael Evans,26-35,Feminino,São Paulo
2024-06-03 06:23:30.474436,Chá de Hibisco,Chás Artesanais,9.2,4,Terry Jones,36-45,Outro,Brasília
2024-05-31 04:32:55.025059,Cookie,Doces,6.8,3,Ryan Murphy,18-25,Feminino,Paraná
2024-05-01 13:21:39.328736,Chá Verde,Chás Artesanais,8.5,4,Mark Thomas,56+,Masculino,Online
2024-08-26 03:31:55.582678,Bolo de Cenoura,Doces,9.9,1,Deborah Figueroa,36-45,Masculino,Brasília
2024-06-01 23:34:35.776549,Empada de Palmito,Salgados,9.8,4,Angelica Keith,26-35,Outro,Paraná
2024-07-13 21:30:01.781142,Cookie,Doces,6.8,1,David Oliver,18-25,Outro,Brasília
2024-10-26 21:44:49.613282,Café Orgânico,Cafés Especiais,14.5,4,Tina Walter,26-35,Masculino,Online
2024-07-31 23:36:45.931060,Café Arábica,Cafés Especiais,12.9,3,Victor Edwards,46-55,Feminino,Paraná
2024-07-29 20:13:53.299752,Quiche de Alho-poró,Salgados,11.0,1,David Kelly,36-45,Feminino,Paraná
2024-09-30 11:38:51.255076,Chá Verde,Chás Artesanais,8.5,2,Megan Nelson,18-25,Outro,Paraná
2024-03-26 20:18:50.760989,Café Robusta,Cafés Especiais,10.9,2,Michael Cooper,18-25,Feminino,Brasília
2024-12-28 05:32:54.455639,Café Arábica,Cafés Especiais,12.9,4,Kyle Black,26-35,Outro,Online
2024-07-22 11:52:53.393547,Empada de Palmito,Salgados,9.8,2,Shannon Taylor,46-55,Outro,Paraná
2024-12-02 10:42:55.461239,Empada de Palmito,Salgados,9.8,1,Robert Oconnell,18-25,Masculino,São Paulo
2024-05-07 07:04:25.258359,Café Arábica,Cafés Especiais,12.9,2,David Torres,56+,Masculino,São Paulo
2024-11-12 00:47:46.880305,Quiche de Alho-poró,Salgados,11.0,3,William Barrett,36-45,Feminino,São Paulo
2024-04-17 04:08:55.911889,Café Robusta,Cafés Especiais,10.9,3,Jennifer Jenkins,26-35,Feminino,Online
2024-11-07 04:04:49.227722,Café Arábica,Cafés Especiais,12.9,4,Allison Smith,56+,Outro,Online
2024-11-29 07:24:55.468515,Empada de Palmito,Salgados,9.8,1,Paula Moreno,46-55,Outro,São Paulo
2024-10-29 12:47:31.001194,Chá de Hibisco,Chás Artesanais,9.2,3,Jenna Bryant,46-55,Feminino,Brasília
2024-02-20 00:44:27.391898,Brownie,Doces,7.5,3,Christopher Smith,36-45,Outro,Online
2024-09-13 06:22:39.996444,Empada de Palmito,Salgados,9.8,1,Tammy Moore,36-45,Outro,Paraná
2024-01-10 18:40:56.007556,Café Robusta,Cafés Especiais,10.9,2,Michael Poole,26-35,Outro,Online
2024-05-15 08:16:37.410311,Chá de Camomila,Chás Artesanais,8.9,2,Helen Jones,26-35,Feminino,Paraná
2024-08-29 21:37:21.473575,Café Robusta,Cafés Especiais,10.9,4,Robert Walker PhD,36-45,Feminino,Brasília
2024-11-01 18:41:11.724096,Quiche de Alho-poró,Salgados,11.0,2,Brittany Young,36-45,Feminino,Online
2024-01-12 16:47:27.807380,Café Arábica,Cafés Especiais,12.9,1,Melissa Taylor,36-45,Feminino,Paraná
2024-01-29 09:41:21.919424,Coxinha Vegana,Salgados,10.2,3,Corey Whitaker,18-25,Outro,Paraná
2024-07-26 01:55:04.384485,Coxinha Vegana,Salgados,10.2,2,Joseph Woodward,26-35,Outro,Online
2024-02-24 20:40:52.138364,Quiche de Alho-poró,Salgados,11.0,4,Charles Frost,36-45,Feminino,São Paulo
2024-09-28 23:54:18.885811,Chá de Hibisco,Chás Artesanais,9.2,2,Christopher Pena,36-45,Outro,Online
2024-09-11 22:39:03.845209,Chá Verde,Chás Artesanais,8.5,1,Anthony Romero,18-25,Feminino,Brasília
2024-05-30 10:47:52.850838,Empada de Palmito,Salgados,9.8,4,Lisa Perry,18-25,Outro,Brasília
2024-10-12 02:58:50.076094,Café Robusta,Cafés Especiais,10.9,2,April Finley,26-35,Outro,São Paulo
2024-04-14 06:19:41.557469,Chá de Camomila,Chás Artesanais,8.9,4,Amber Kidd,46-55,Feminino,Online
